emg;time
1512;2
1511;4
1510;7
1509;9
1509;11
1509;13
1509;16
1509;18
1510;20
1512;23
1514;25
1517;27
1518;30
1517;32
1515;34
1512;36
1510;39
1508;41
1508;44
1508;47
1508;49
1511;51
1516;54
1521;56
1521;58
1517;61
1514;63
1512;65
1512;67
1514;70
1514;72
1512;74
1511;77
1511;79
1510;81
1508;84
1507;87
1509;89
1512;91
1512;94
1512;96
1511;98
1509;101
1507;103
1505;105
1505;108
1506;110
1511;112
1514;115
1513;117
1511;120
1510;122
1509;124
1509;128
1509;130
1507;132
1506;135
1505;137
1506;139
1506;142
1505;144
1510;146
1511;149
1509;151
1504;153
1502;156
1501;158
1501;161
1501;163
1501;165
1502;168
1503;171
1506;173
1509;176
1510;178
1509;180
1506;183
1504;185
1503;187
1502;190
1501;192
1502;194
1504;197
1506;199
1506;202
1509;204
1509;206
1509;209
1510;211
1511;214
1510;217
1509;219
1507;221
1504;224
1503;226
1503;228
1506;231
1508;233
1509;236
1508;238
1506;240
1504;243
1503;245
1503;247
1502;250
1502;252
1503;254
1505;258
1506;260
1507;262
1507;265
1505;267
1503;269
1504;272
1508;274
1509;277
1508;279
1504;281
1502;284
1500;286
1499;288
1500;291
1502;293
1504;295
1506;299
1505;301
1504;303
1500;306
1499;308
1498;311
1497;313
1496;315
1495;318
1495;320
1496;322
1498;325
1500;327
1502;329
1501;332
1497;334
1495;336
1496;339
1499;342
1502;344
1500;347
1498;349
1499;352
1500;354
1500;356
1497;359
1495;361
1494;363
1492;366
1492;368
1494;370
1495;373
1498;375
1500;377
1500;380
1497;382
1496;385
1496;388
1496;390
1496;393
1494;395
1493;397
1496;400
1498;402
1496;404
1494;407
1494;409
1492;411
1492;414
1493;416
1494;418
1496;421
1496;423
1496;427
1495;429
1495;431
1495;434
1495;436
1496;438
1496;441
1500;443
1503;445
1503;448
1502;450
1502;452
1499;455
1497;457
1495;459
1493;462
1495;464
1497;467
1500;470
1500;472
1500;475
1498;477
1496;479
1495;482
1494;484
1494;486
1494;489
1495;491
1496;493
1495;496
1494;498
1494;500
1495;503
1498;505
1502;508
1502;510
1500;513
1497;516
1495;518
1494;520
1494;523
1493;525
1493;527
1493;530
1493;532
1494;534
1495;537
1498;539
1502;541
1503;544
1502;546
1500;549
1497;551
1495;553
1494;557
1494;559
1493;561
1495;564
1496;566
1497;568
1497;571
1497;573
1496;575
1496;578
1499;580
1501;583
1502;585
1500;587
1497;590
1495;592
1494;594
1494;598
1494;600
1495;602
1497;605
1499;607
1499;609
1496;612
1496;614
1497;617
1499;619
1500;621
1501;624
1501;626
1499;628
1497;631
1496;633
1496;635
1497;638
1499;641
1500;643
1499;646
1499;648
1498;650
1497;653
1498;655
1498;658
1498;660
1497;662
1497;665
1499;667
1500;669
1502;672
1502;674
1501;676
1499;679
1499;681
1500;684
1500;687
1500;689
1504;691
1506;694
1506;696
1505;699
1504;701
1503;703
1502;706
1501;708
1500;710
1499;713
1499;715
1500;717
1500;720
1499;722
1499;724
1499;728
