emg;time
1506	2
1503	4
1501	7
1500	9
1500	11
1500	13
1499	16
1499	18
1498	20
1498	23
1497	25
1498	27
1498	30
1498	32
1499	34
1499	36
1498	39
1497	41
1495	44
1493	47
1493	49
1492	51
1492	54
1492	56
1491	58
1491	61
1491	63
1491	65
1491	67
1491	70
1491	72
1493	74
1494	77
1496	79
1497	81
1498	84
1496	87
1494	89
1492	91
1491	94
1490	96
1489	98
1489	101
1490	103
1489	105
1487	108
1486	110
1485	112
1484	115
1484	117
1483	120
1483	122
1482	124
1481	128
1481	130
1481	132
1482	135
1484	137
1484	139
1485	142
1487	144
1489	146
1490	149
1493	151
1493	153
1491	156
1490	158
1490	161
1490	163
1492	165
1492	168
1492	171
1492	173
1493	176
1495	178
1498	180
1499	183
1498	185
1498	187
1499	190
1499	192
1499	194
1498	197
1496	199
1495	202
1494	204
1494	206
1494	209
1495	211
1495	214
1495	217
1495	219
1495	221
1496	224
1496	226
1497	228
1498	231
1499	233
1500	235
1501	238
1505	240
1510	243
1510	245
1509	247
1508	250
1507	252
1506	254
1507	258
1508	260
1508	262
1507	265
1507	267
1507	269
1506	272
1505	274
1504	277
1502	279
1502	281
1501	284
1502	286
1503	288
1504	291
1505	293
1504	295
1504	299
1503	301
1503	303
1505	306
1506	308
1507	310
1509	313
1510	315
1512	318
1511	320
1510	322
1509	325
1507	327
1503	329
1500	332
1498	334
1496	336
1494	339
1493	342
1492	344
1492	347
1491	349
1491	352
1491	354
1493	356
1494	359
1494	361
1494	363
1495	366
1497	368
1502	370
1503	373
1502	375
1501	377
1501	380
1503	382
1502	385
1499	388
1496	390
1494	393
1492	395
1491	397
1490	400
1489	402
1490	404
1491	407
1492	409
1492	411
1491	414
1490	416
1490	418
1490	421
1490	423
1491	425
1491	429
1492	431
1492	434
1491	436
1491	438
1491	441
1492	443
1494	445
1494	448
1495	450
1498	452
1500	455
1504	457
1504	459
1501	462
1499	464
1498	466
1496	470
1496	472
1496	475
1497	477
1496	479
1495	482
1494	484
1493	486
1492	489
1492	491
1491	493
1491	496
1491	498
1491	500
1490	503
1490	505
1490	508
1491	510
1491	513
1491	516
1491	518
1491	520
1491	523
1493	525
1495	527
1497	530
1499	532
1499	534
1500	537
1499	539
1497	541
1495	544
1494	546
1493	549
1494	551
1494	553
1495	557
1494	559
1492	561
1490	564
1488	566
1487	568
1486	571
1486	573
1486	575
1486	578
1487	580
1488	583
1489	585
1489	587
1491	590
1492	592
1492	594
1493	598
1494	600
1494	602
1494	605
1494	607
1497	609
1501	612
1503	614
1504	616
1505	619
1503	621
1502	624
1502	626
1504	628
1504	631
1503	633
1501	635
1500	638
1500	641
1499	643
1498	646
1498	648
1498	650
1497	653
1498	655
1498	657
1500	660
1501	662
1501	665
1501	667
1502	669
1503	672
1506	674
1510	676
1511	679
1510	681
1509	684
1510	687
1510	689
1509	691
1507	694
1506	696
1506	699
1506	701
1505	703
1503	706
1501	708
1500	710
1500	713
1499	715
1498	717
1498	720
1498	722
1498	724
1498	728
1498	730
1498	732
1500	735
1500	737
1499	740
1498	742
1499	744
1500	747
1501	749
1499	751
1502	754
1505	756
1506	758
1503	761
1501	763
1498	765
1495	769
1494	771
1492	774
1491	776
1491	778
1491	781
1492	783
1494	785
1495	788
1494	790
1493	792
1492	795
1491	797
1491	799
1490	802
1490	804
1489	806
1489	809
1489	812
1490	815
1492	817
1496	819
1502	822
1503	824
1501	826
1497	829
1493	831
1491	833
1490	836
1488	838
1488	840
1487	843
1487	845
1487	848
1487	850
1487	852
1487	856
1487	858
1489	860
1492	863
1493	865
1492	867
1491	870
1491	872
1491	874
1492	877
1493	879
1493	881
1491	884
1491	886
1491	889
1491	891
1491	893
1490	897
1492	899
1491	901
1490	904
1490	906
1491	908
1495	911
1496	913
1495	915
1494	918
1493	920
1493	922
1493	925
1494	927
1496	930
1496	932
1498	934
1499	937
1500	940
1499	942
1499	945
1498	947
1498	949
1498	952
1497	954
1497	956
1497	959
1497	961
1497	964
1498	966
1499	968
1500	971
1501	973
1501	975
1503	978
1506	980
1508	983
1508	986
1508	988
1506	990
1504	993
1502	995
1500	997
1499	1000
1499	1002
1499	1005
1498	1007
1497	1009
1497	1012
1496	1014
1496	1017
1496	1019
1497	1021
1497	1025
1497	1027
1498	1030
1499	1032
1500	1035
1500	1037
1502	1039
1502	1042
1502	1044
1503	1047
1503	1049
1504	1051
1504	1054
1508	1056
1510	1059
1506	1061
1503	1063
1502	1067
1501	1069
1501	1072
1500	1074
1500	1076
1500	1079
1499	1081
1499	1084
1499	1086
1499	1088
1499	1091
1500	1093
1500	1096
1500	1098
1499	1100
1498	1103
1497	1105
1498	1108
1501	1111
1502	1113
1500	1116
1499	1118
1498	1121
1499	1123
1499	1126
1498	1128
