emg;time
1498;2
1499;4
1500;7
1502;9
1502;11
1502;13
1501;16
1500;18
1499;20
1498;23
1497;25
1497;27
1496;30
1497;32
1498;34
1498;36
1497;39
1497;41
1497;44
1496;47
1496;49
1496;51
1497;54
1499;56
1500;58
1501;61
1501;63
1502;65
1503;67
1504;70
1504;72
1504;74
1505;77
1505;79
1503;81
1503;84
1502;87
1502;89
1503;91
1505;94
1505;96
1505;98
1504;101
1503;103
1503;105
1503;108
1503;110
1504;112
1504;115
1504;117
1504;120
1505;122
1506;124
1507;128
1507;130
1508;132
1508;135
1509;137
1509;139
1509;142
1510;144
1511;146
1511;149
1511;151
1510;153
1509;156
1509;158
1509;161
1509;163
1509;165
1509;168
1509;171
1509;173
1510;176
1510;178
1509;180
1509;183
1509;185
1508;187
1507;190
1507;192
1508;194
1508;197
1508;199
1508;202
1507;204
1506;206
1506;209
1507;211
1507;214
1505;217
1505;219
1503;221
1502;224
1500;226
1499;228
1499;231
1499;233
1499;235
1500;238
1500;240
1501;243
1501;245
1501;247
1500;250
1499;252
1499;254
1499;258
1500;260
1500;262
1499;265
1500;267
1499;269
1499;272
1498;274
1498;277
1499;279
1499;281
1499;284
1498;286
1498;288
1498;291
1497;293
1497;295
1498;299
1500;301
1501;303
1500;306
1498;308
1498;310
1497;313
1498;315
1499;318
1500;320
1499;322
1498;325
1497;327
1497;329
1497;332
1497;334
1497;336
1498;339
1498;342
1498;344
1498;347
1498;349
1499;352
1500;354
1500;356
1501;359
1502;361
1503;363
1503;366
1504;368
1504;370
1502;373
1501;375
1500;377
1500;380
1500;382
1499;385
1498;388
1498;390
1499;393
1499;395
1501;397
1504;400
1505;402
1506;404
1509;407
1511;409
1509;411
1508;414
1507;416
1507;418
1506;421
1506;423
1507;425
1508;429
1507;431
1507;434
1506;436
1504;438
1503;441
1503;443
1504;445
1505;448
1506;450
1508;452
1509;455
1512;457
1514;459
1515;462
1514;464
1514;467
1513;470
1509;472
1505;475
1503;477
1501;479
1501;482
1502;484
1502;486
1501;489
1503;491
1507;493
1510;496
1512;498
1515;500
1514;503
1510;505
1505;508
1502;510
1498;513
1503;516
1507;518
1506;520
1500;523
1495;525
1491;527
1486;530
1484;532
1482;534
1479;537
1476;539
1474;542
1472;544
1470;546
1472;549
1480;551
1483;553
1482;557
1479;559
1477;561
1477;564
1479;566
1483;568
1482;571
1482;573
1485;575
1484;578
1480;580
1478;583
1476;585
1472;587
1471;590
1473;592
1481;594
1488;598
1493;600
1494;602
1492;605
1493;607
1495;609
1493;612
1491;614
1488;617
1483;619
1480;621
1477;624
1473;626
1467;628
1464;631
1463;633
1464;635
1466;638
1466;641
1465;643
1465;646
1467;648
1469;650
1471;653
1474;655
1473;658
1471;660
1471;662
1470;665
1470;667
1473;669
1475;672
1476;674
1476;676
1477;679
1477;681
1477;684
1476;687
1477;689
1480;692
1485;694
1486;696
1486;699
1488;701
1491;703
1492;706
1492;708
1493;710
1495;713
1499;715
1501;717
1499;720
1495;722
1494;724
1493;728
1491;730
1491;733
1498;735
1502;737
1505;740
1506;742
1503;744
1497;747
1492;749
1488;751
1491;754
1493;756
1492;758
1490;761
1490;763
1490;766
1491;769
1492;771
1490;774
1488;776
1485;778
1484;781
1486;783
1491;785
1496;788
1496;790
1496;792
1495;795
1496;797
1501;799
1501;802
1501;804
1503;807
1501;809
1496;812
1492;815
1492;817
1492;819
1492;822
1495;824
1499;826
1497;829
1493;831
1492;833
1498;836
1504;838
1505;840
1499;843
1495;845
1493;848
1495;850
1500;852
1503;856
1507;858
1506;860
1505;863
1507;865
1513;867
1514;870
1513;872
1519;874
1532;877
1528;879
1525;882
1527;884
1525;886
1524;889
1521;891
1515;893
1508;897
1508;899
1505;901
1501;904
1502;906
1510;908
1516;911
1513;913
1509;915
1508;918
1506;920
1505;923
1504;925
1503;927
1502;930
1502;932
1499;934
1493;937
1488;940
1489;942
1493;945
1498;947
1501;949
1503;952
1505;954
1504;957
1509;959
1519;961
1528;964
1521;966
1513;968
1506;971
1502;973
1500;975
1498;978
1495;980
1495;983
1497;986
1498;988
1498;990
1498;993
1500;995
1499;998
1496;1000
1492;1002
1488;1005
1488;1007
1489;1010
1491;1012
1493;1014
1494;1017
1495;1019
1495;1022
1494;1025
1494;1027
1494;1030
1496;1032
1503;1035
1501;1037
1495;1039
1491;1042
1489;1044
1490;1047
1492;1049
1491;1051
1489;1054
1487;1056
1486;1059
1489;1061
1490;1063
1490;1067
1488;1069
1486;1072
1487;1074
1487;1076
1486;1079
1485;1081
1484;1084
1484;1086
1489;1088
1490;1091
1488;1093
1486;1096
1485;1098
1484;1100
1489;1103
1489;1105
1487;1108
1486;1111
1490;1114
1492;1116
1493;1118
1495;1121
1495;1123
1493;1126
1495;1128
1498;1130
1502;1133
1502;1135
1497;1138
1490;1140
1488;1142
1487;1145
1489;1147
1491;1150
1490;1153
1487;1155
1486;1158
1485;1160
1485;1163
1490;1165
1495;1167
1500;1170
1501;1172
1502;1175
1500;1177
1498;1179
1497;1182
1497;1184
1500;1187
1501;1189
1501;1191
1500;1195
1499;1197
1499;1200
1500;1202
1501;1205
1502;1207
1502;1209
1499;1212
1496;1214
1495;1217
1498;1219
1501;1221
1501;1224
1501;1226
1498;1229
1498;1231
1497;1233
1498;1236
1502;1239
1504;1242
1502;1244
1499;1246
1499;1249
1504;1251
1502;1254
1496;1256
1493;1258
1494;1261
1498;1263
1495;1266
1494;1268
1494;1270
1495;1273
1496;1275
1495;1278
1494;1281
1494;1284
1492;1286
1491;1288
1493;1291
1496;1293
1495;1296
1495;1298
1496;1300
1496;1303
1492;1305
1490;1308
1492;1310
1493;1312
1496;1315
1499;1317
1501;1320
1499;1323
1497;1325
1495;1328
1494;1330
1494;1333
1492;1335
1491;1337
1494;1340
1498;1342
1499;1345
1497;1347
1493;1349
1490;1352
1489;1354
1490;1357
1491;1359
1492;1361
1494;1364
1497;1367
1499;1370
1497;1372
1498;1375
1501;1377
1501;1379
1499;1382
1496;1384
1494;1387
1493;1389
1493;1391
1492;1394
1490;1396
1494;1399
1498;1401
1502;1403
1503;1406
1504;1409
1501;1412
1500;1414
1498;1416
1496;1419
1497;1421
1501;1424
1502;1426
1503;1428
1500;1431
1496;1433
1493;1436
1492;1438
1491;1440
1490;1443
1493;1445
1495;1448
1497;1451
1502;1453
1506;1456
1511;1458
1510;1461
1504;1463
1499;1465
1493;1468
1493;1470
1494;1473
1492;1475
1490;1478
1486;1480
1483;1482
1483;1485
1486;1487
1487;1490
1487;1492
1484;1495
1482;1498
1481;1500
1481;1503
1482;1505
1486;1507
1486;1510
1485;1512
1486;1515
1487;1517
1489;1519
1490;1522
1488;1524
1487;1527
1488;1529
1490;1531
1488;1534
1488;1537
1490;1540
1491;1542
1491;1544
1492;1547
1498;1549
1499;1552
1498;1554
1498;1556
1498;1559
1502;1561
1506;1564
1503;1566
1501;1569
1498;1571
1496;1573
1493;1576
1491;1579
1492;1582
1489;1584
1489;1586
1495;1589
1499;1591
1499;1594
1500;1596
1496;1598
1493;1601
1492;1603
1495;1606
1498;1608
1497;1610
1497;1613
1501;1615
1502;1618
1498;1620
1494;1623
1493;1626
1494;1628
1497;1631
1496;1633
1495;1635
1495;1638
1498;1640
1500;1643
1503;1645
1501;1647
1500;1650
1496;1652
1493;1655
1496;1657
1497;1659
1493;1662
1490;1665
1489;1668
1486;1670
1481;1673
1476;1675
1472;1677
1470;1680
1470;1682
1471;1685
1475;1687
1484;1689
1486;1692
1484;1694
1480;1697
1477;1699
1478;1701
1477;1704
1475;1707
1473;1710
1474;1712
1476;1714
1479;1717
1480;1719
1478;1722
1481;1724
1482;1726
1482;1729
1481;1731
1482;1734
1485;1736
1486;1738
1487;1741
1487;1743
1489;1746
1491;1748
1491;1751
1491;1754
1492;1756
1491;1759
1491;1761
1494;1763
1493;1766
1489;1768
1488;1771
1487;1773
1486;1776
1484;1778
1483;1780
1483;1783
1483;1785
1485;1788
1491;1790
1499;1793
1501;1796
1497;1798
1492;1801
1491;1803
1493;1805
1500;1808
1504;1810
1504;1813
1498;1815
1493;1817
1491;1820
1489;1822
1486;1825
1483;1827
1483;1829
1482;1832
1483;1835
1484;1838
1489;1840
1493;1842
1494;1845
1494;1847
1491;1850
1491;1852
1494;1854
1492;1857
1488;1859
1482;1862
1480;1864
1480;1866
1477;1869
1478;1871
1480;1874
1483;1876
1486;1880
1485;1882
1483;1884
1482;1887
1486;1889
1488;1892
1486;1894
1483;1896
1481;1899
1485;1901
1489;1904
1490;1906
1486;1908
1483;1911
1483;1913
1493;1916
1497;1918
1493;1921
1490;1924
1487;1926
1486;1929
1490;1931
1493;1933
1493;1936
1491;1938
1490;1941
1491;1943
1492;1945
1492;1948
1491;1950
1491;1953
1495;1955
1498;1957
1496;1960
1494;1963
1492;1966
1490;1968
1492;1971
1496;1973
1495;1975
1492;1978
1495;1980
1503;1983
1508;1985
1508;1987
1504;1990
1504;1992
1505;1995
1502;1997
1500;1999
1498;2002
1495;2004
1494;2008
1495;2010
1495;2012
1496;2015
1497;2017
1498;2020
1498;2022
1498;2024
1498;2027
1499;2029
1499;2032
1503;2034
1505;2036
1505;2039
1506;2041
1505;2044
1506;2046
1505;2049
1503;2052
1502;2054
1503;2057
1505;2059
1507;2061
1511;2064
1510;2066
1508;2069
1507;2071
1504;2074
1505;2076
1504;2078
1502;2081
1498;2083
1498;2086
1500;2088
1501;2091
1504;2094
1507;2096
1511;2099
1511;2101
1509;2103
1505;2106
1502;2108
1499;2111
1498;2113
1499;2115
1502;2118
1502;2120
1499;2123
1501;2125
1505;2127
1504;2130
1505;2132
1504;2136
1499;2138
1496;2140
1495;2143
1497;2145
1497;2148
1498;2150
1498;2153
1496;2155
1497;2157
1501;2160
1500;2162
1499;2165
1500;2167
1503;2169
1503;2172
1501;2174
1499;2178
1501;2180
1503;2182
1503;2185
1501;2187
1498;2190
1497;2192
1496;2194
1495;2197
1495;2199
1494;2202
1494;2204
1495;2206
1496;2209
1497;2211
1497;2214
1498;2216
1500;2219
1501;2222
1498;2224
1498;2227
1501;2229
1503;2232
1504;2234
1503;2236
1503;2239
1500;2241
1499;2244
1498;2246
1499;2248
1502;2251
1503;2253
1502;2256
1501;2258
1499;2260
1499;2264
1500;2266
1503;2269
1508;2271
1507;2273
1504;2276
1502;2278
1500;2281
1500;2283
1501;2285
1502;2288
1506;2290
1510;2293
1510;2295
1506;2297
1504;2300
1508;2302
1510;2306
1508;2308
1506;2311
1505;2313
1504;2315
1506;2318
1506;2320
1504;2323
1504;2325
1504;2327
1500;2330
1497;2332
1497;2335
1502;2337
1505;2339
1504;2342
1501;2344
1500;2348
1499;2350
1503;2352
1504;2355
1501;2357
1500;2360
1499;2362
1497;2364
1495;2367
1493;2369
1493;2372
1494;2374
1499;2376
1502;2379
1503;2381
1503;2384
1504;2386
1506;2390
1506;2392
1509;2394
1510;2397
1506;2399
1501;2402
1499;2404
1502;2406
1501;2409
1498;2411
1495;2414
1495;2416
1496;2418
1498;2421
1499;2423
1497;2426
1496;2428
1494;2430
1494;2434
1497;2436
1500;2439
1501;2441
1501;2443
1500;2446
1505;2448
1507;2451
1503;2453
1499;2455
1495;2458
1492;2460
1492;2463
1494;2465
1499;2468
1501;2470
1501;2472
1500;2476
1497;2478
1495;2481
1495;2483
1495;2485
1495;2488
1499;2490
1503;2493
1503;2495
1503;2497
1505;2500
1507;2502
1505;2505
1500;2507
1498;2509
1496;2512
1493;2514
1493;2518
1495;2520
1497;2522
1498;2525
1500;2527
1500;2530
1503;2532
1506;2534
1508;2537
1507;2539
1505;2542
1502;2544
1498;2547
1498;2549
1501;2551
1504;2554
1505;2556
1504;2560
1503;2562
1503;2564
1501;2567
1497;2569
1495;2572
1496;2574
1497;2576
1496;2579
1495;2581
1496;2584
1498;2586
1498;2588
1499;2591
1503;2593
1509;2596
1515;2598
1513;2600
1511;2604
1508;2606
1502;2609
1496;2611
1494;2613
1493;2616
1493;2618
1496;2621
1498;2623
1500;2625
1499;2628
1499;2630
1497;2633
1495;2635
1493;2637
1492;2640
1492;2642
1494;2646
1496;2648
1502;2651
1505;2653
1504;2655
1503;2658
1502;2660
1499;2663
1498;2665
1498;2667
1498;2670
1496;2672
1496;2675
1499;2677
1498;2679
1496;2682
1494;2684
1494;2688
1495;2690
