emg;time
1493;2
1500;4
1504;7
1504;9
1501;11
1505;13
1505;16
1503;18
1503;20
1499;23
1497;25
1499;27
1500;30
1497;32
1495;34
1493;36
1488;39
1486;41
1490;44
1492;47
1491;49
1494;51
1496;54
1494;56
1492;58
1490;61
1485;63
1482;65
1481;67
1482;70
1481;72
1483;74
1483;77
1483;79
1488;81
1495;84
1497;87
1502;89
1505;91
1506;94
1506;96
1507;98
1502;101
1499;103
1497;105
1492;108
1487;110
1484;112
1486;115
1491;117
1493;120
1496;122
1499;124
1496;128
1492;130
1490;132
1489;135
1494;137
1494;139
1492;142
1493;144
1493;146
1492;149
1490;151
1486;153
1485;156
1487;158
1488;161
1489;163
1489;165
1487;168
1488;171
1492;173
1495;176
1503;178
1505;180
1504;183
1502;185
1505;187
1508;190
1506;192
1506;194
1501;197
1498;199
1499;202
1504;204
1498;206
1493;209
1492;211
1489;214
1489;217
1490;219
1490;221
1488;224
1485;226
1481;228
1479;231
1478;233
1480;236
1483;238
1491;240
1498;243
1503;245
1501;247
1501;250
1508;252
1508;254
1504;258
1502;260
1502;262
1503;265
1501;267
1502;269
1504;272
1507;274
1506;277
1508;279
1515;281
1516;284
1508;286
1504;288
1503;291
1500;293
1497;295
1496;299
1498;301
1507;303
1510;306
1509;308
1510;310
1507;313
1504;315
1503;318
1500;320
1500;322
1500;325
1499;327
1498;329
1497;332
1497;334
1496;336
1499;339
1503;342
1513;344
1517;347
1512;349
1509;352
1512;354
1508;356
1503;359
1500;361
1501;363
1504;366
1504;368
1502;370
1503;373
1504;375
1502;377
1502;380
1509;382
1510;385
1508;388
1503;390
1498;393
1495;395
1497;397
1497;400
1492;402
1488;404
1484;407
1482;409
1488;411
1495;414
1497;416
1495;418
1496;421
1495;423
1491;425
1488;429
1490;431
1494;434
1500;436
1502;438
1504;441
1510;443
1511;445
1507;448
1508;450
1514;452
1516;455
1526;457
1535;459
1524;462
1513;464
1505;467
1509;470
1508;472
1506;475
1503;477
1502;479
1496;482
1491;484
1485;486
1482;489
1477;491
1474;493
1474;496
1473;498
1475;500
1478;503
1482;505
1483;508
1484;510
1484;513
1487;516
1495;518
1505;520
1507;523
1503;525
1499;527
1505;530
1511;532
1504;534
1501;537
1512;539
1519;542
1520;544
1521;546
1519;549
1521;551
1519;553
1513;557
1505;559
1496;561
1491;564
1487;566
1495;568
1498;571
1495;573
1491;575
1484;578
1480;580
1479;583
1482;585
1482;587
1480;590
1478;592
1476;594
1474;598
1477;600
1479;602
1480;605
1482;607
1487;609
1501;612
1512;614
1515;617
1512;619
1509;621
1513;624
1514;626
1511;628
1510;631
1507;633
1507;635
1505;638
1509;641
1511;643
1506;646
1498;648
1490;651
1482;653
1475;655
1471;658
1470;660
1470;662
1474;665
1477;667
1476;669
1477;672
1480;674
1481;676
1483;679
1484;681
1486;684
1494;687
1499;689
1497;692
1496;694
1496;696
1506;699
1510;701
1510;703
1507;706
1501;708
1497;710
1495;713
1493;715
1494;717
1501;720
1501;722
1500;724
1499;728
1498;730
1498;733
1498;735
1492;737
1488;740
1482;742
1474;744
1470;747
1470;749
1480;751
1483;754
1480;756
1478;758
1477;761
1481;763
1488;766
1491;769
1488;771
1487;774
1491;776
1498;778
1496;781
1492;783
1486;785
1490;788
1494;790
1494;792
1490;795
1489;797
1498;799
1499;802
1493;804
1489;807
1495;809
1504;812
1501;815
1494;817
1492;819
1489;822
1483;824
1478;826
1475;829
1470;831
1475;833
1483;836
1486;838
1483;841
1482;843
1480;845
1482;848
1480;850
1478;852
1477;856
1483;858
1499;860
1503;863
1501;865
1502;867
1500;870
1497;872
1499;874
1500;877
1499;879
1499;882
1501;884
1499;886
1499;889
1511;891
1516;893
1514;897
1514;899
1511;901
1503;904
1499;906
1496;908
1489;911
1487;913
1485;916
1483;918
1480;920
1481;923
1482;925
1485;927
1493;930
1501;932
1503;934
1502;937
1497;940
1495;942
1494;945
1493;947
1500;949
1502;952
1499;954
1504;957
1505;959
1508;961
1515;964
1514;966
1510;968
1510;971
1510;973
1509;975
1507;978
1510;980
1505;983
1503;986
1505;988
1499;990
1491;993
1489;995
1489;998
1490;1000
1488;1002
1485;1005
1481;1007
1483;1010
1488;1012
1488;1014
1487;1017
1488;1019
1487;1022
1491;1025
1503;1027
1515;1030
1519;1032
1518;1035
1518;1037
1516;1039
1514;1042
1512;1044
1512;1047
1511;1049
1506;1051
1504;1054
1503;1056
1502;1059
1501;1061
1493;1063
1489;1067
1491;1069
1489;1072
1484;1074
1480;1076
1481;1079
1483;1081
1483;1084
1484;1086
1487;1088
1490;1091
1497;1093
1497;1096
1492;1098
1488;1101
1486;1103
1488;1105
1492;1108
1494;1111
1495;1114
1494;1116
1496;1118
1496;1121
1508;1123
1521;1126
1524;1128
1518;1130
1511;1133
1506;1135
1500;1138
1491;1140
1484;1142
1479;1145
1480;1147
1491;1150
1487;1153
1480;1155
1474;1158
1472;1160
1473;1163
1472;1165
1474;1167
1480;1170
1486;1172
1489;1175
1490;1177
1493;1179
1489;1182
1486;1184
1483;1187
1478;1189
1481;1192
1496;1195
1499;1197
1496;1200
1501;1202
1512;1205
1511;1207
1504;1209
1494;1212
1491;1214
1499;1217
1498;1219
1497;1221
1500;1224
1502;1226
1501;1229
1498;1231
1493;1233
1489;1236
1486;1239
1483;1242
1479;1244
1481;1246
1491;1249
1500;1251
1497;1254
1492;1256
1490;1258
1491;1261
1492;1263
1491;1266
1490;1268
1494;1270
1496;1273
1497;1275
1497;1278
1503;1281
1512;1284
1513;1286
1514;1288
1516;1291
1512;1293
1506;1296
1504;1298
1501;1300
1498;1303
1496;1305
1493;1308
1487;1310
1483;1312
1481;1315
1479;1317
1478;1320
1480;1323
1483;1325
1482;1328
1481;1330
1483;1333
1483;1335
1482;1337
1484;1340
1484;1342
1485;1345
1486;1347
1491;1349
1501;1352
1510;1354
1510;1357
1506;1359
1508;1361
1512;1364
1510;1367
1506;1370
1500;1372
1496;1374
1499;1377
1509;1379
1512;1382
1503;1384
1495;1387
1492;1389
1489;1391
1487;1394
1484;1396
1484;1399
1483;1401
1487;1403
1490;1406
1486;1409
1480;1412
1477;1414
1474;1416
1472;1419
1473;1421
1476;1424
1478;1426
1485;1428
