emg,t,emg_filtered,emg_rectified,emg_envelope
4.256573575044968,120,-0.2827768108760109,0.2827768108760109,0.9341426332044224
3.2565735750449676,122,-0.8031731871071219,0.8031731871071219,1.0572292715635832
-3.7434264249550324,124,-7.400529881576657,7.400529881576657,1.1822822016857555
-8.743426424955032,128,-11.829904768510556,11.829904768510556,1.3090915461834896
-8.743426424955032,130,-11.562213806801607,11.562213806801607,1.4374441882825832
-6.743426424955032,132,-8.906965496851168,8.906965496851168,1.5671248635677268
-5.743426424955032,135,-7.823370750310567,7.823370750310567,1.6979172375086462
-8.743426424955032,137,-10.090832041284738,10.090832041284738,1.8296049578061566
-7.743426424955032,139,-9.219814249537642,9.219814249537642,1.961972672619367
-2.7434264249550324,142,-3.441418524193967,3.441418524193967,2.0948070076937393
-1.7434264249550324,144,-2.7659606030660724,2.7659606030660724,2.2278974972085765
-2.7434264249550324,146,-3.015319057941573,3.015319057941573,2.361037464748839
-2.7434264249550324,149,-3.4601631411266274,3.4601631411266274,2.4940248520502952
-5.743426424955032,151,-5.854063719459525,5.854063719459525,2.6266629939735355
-2.7434264249550324,153,-3.296148918696761,3.296148918696761,2.7587613386176484
-0.7434264249550324,156,-0.9705030221718172,0.9705030221718172,2.8901361117952846
0.2565735750449676,158,-0.27495256660940637,0.27495256660940637,3.0206109253905433
-1.7434264249550324,161,-2.3407838007445245,2.3407838007445245,3.1500173293661544
-3.7434264249550324,163,-4.409404579826974,4.409404579826974,3.278195307244896
-1.7434264249550324,165,-2.9079834647461658,2.9079834647461658,3.4049937147252183
5.256573575044968,168,4.282077467562017,4.282077467562017,3.530270660829688
14.256573575044968,171,12.40337299730746,12.40337299730746,3.6538938308018
12.256573575044968,173,10.788739065975296,10.788739065975296,3.7757407499784947
7.256573575044968,176,4.668419537846781,4.668419537846781,3.8956989881758277
2.2565735750449676,178,0.12040131901251616,0.12040131901251616,4.013666304825316
5.256573575044968,180,1.9467616217504888,1.9467616217504888,4.129550736078333
10.256573575044968,183,7.313311145005166,7.313311145005166,4.243270625970135
12.256573575044968,185,8.276207593256952,8.276207593256952,4.3547546041600755
8.256573575044968,187,4.426766919476632,4.426766919476632,4.4639415127958415
4.256573575044968,190,-0.32484893250476343,0.32484893250476343,4.570780285042778
1.2565735750449676,192,-3.4666912003465393,3.4666912003465393,4.675229777990804
-0.7434264249550324,194,-5.850271214033449,5.850271214033449,4.777258562865851
-1.7434264249550324,197,-7.293166599490796,7.293166599490796,4.876844675492726
-2.7434264249550324,199,-8.298156946577423,8.298156946577423,4.9739753297830385
-0.7434264249550324,202,-6.988104261094889,6.988104261094889,5.068646596895601
4.256573575044968,204,-1.6644291354931624,1.6644291354931624,5.160863052842692
