emg;time
1495;1458
1495;1461
1494;1463
1494;1465
1495;1468
1496;1470
1496;1473
1497;1475
1497;1477
1497;1480
1497;1482
1497;1485
1497;1487
1497;1490
1497;1492
1497;1495
1497;1498
1497;1500
1498;1503
1501;1505
1516;1507
1532;1510
1540;1512
1550;1515
1564;1517
1571;1519
1569;1522
1580;1524
1596;1527
1606;1529
1600;1531
1583;1534
1586;1537
1608;1540
1624;1542
1628;1544
1616;1547
1601;1549
1571;1552
1559;1554
1583;1556
1589;1559
1566;1561
1520;1564
1476;1566
1462;1568
1489;1571
1504;1573
1512;1576
1542;1579
1548;1582
1522;1584
1513;1586
1514;1589
1505;1591
1485;1594
1478;1596
1471;1598
1469;1601
1469;1603
1469;1606
1477;1608
1503;1610
1507;1613
1491;1615
1472;1618
1455;1620
1466;1623
1477;1626
1476;1628
1464;1631
1459;1633
1462;1635
1456;1638
1452;1640
1447;1643
1451;1645
1460;1647
1459;1650
1448;1652
1440;1655
1439;1657
1444;1660
1448;1662
1448;1665
1450;1668
1453;1670
1464;1673
1478;1675
1477;1677
1463;1680
1450;1682
1450;1685
1455;1687
1458;1689
1483;1692
1487;1694
1483;1697
1473;1699
1469;1701
1493;1704
1498;1707
1485;1710
1469;1712
1458;1714
1454;1717
1454;1719
1480;1722
1511;1724
1508;1726
1488;1729
1454;1731
1461;1734
1473;1736
1471;1738
1461;1741
1441;1743
1428;1746
1421;1748
1417;1751
1416;1754
1416;1756
1413;1759
1422;1761
1424;1764
1414;1766
1414;1768
1420;1771
1420;1773
1402;1776
1385;1778
1379;1780
1380;1783
1383;1785
1378;1788
1374;1790
1390;1793
1404;1796
1398;1798
1387;1801
1382;1803
1387;1805
1388;1808
1390;1810
1385;1813
1379;1815
1383;1817
1393;1820
1408;1822
1407;1825
1401;1827
1408;1829
1412;1832
1405;1835
1418;1838
1435;1840
1449;1842
1458;1845
1448;1847
1431;1850
1410;1852
1407;1854
1429;1857
1451;1859
1452;1862
1448;1864
1435;1867
1426;1869
1422;1871
1451;1874
1471;1876
1466;1880
1461;1882
1449;1884
1437;1887
1429;1889
1436;1892
1452;1894
1488;1896
1483;1899
1458;1901
1431;1904
1421;1906
1437;1908
1456;1911
1464;1913
1452;1916
1442;1918
1450;1921
1477;1924
1510;1926
1508;1929
1490;1931
1472;1933
1446;1936
1439;1938
1438;1941
1458;1943
1472;1945
1468;1948
1457;1950
1444;1953
1456;1955
1464;1958
1483;1960
1502;1963
1489;1966
1467;1968
1454;1971
1453;1973
1456;1975
1458;1978
1445;1980
1443;1983
1461;1985
1479;1987
1486;1990
1474;1992
1472;1995
1480;1997
1478;1999
1470;2002
1456;2004
1465;2008
1484;2010
1508;2012
1501;2015
1491;2017
1476;2020
1461;2022
1450;2024
1444;2027
1450;2029
1459;2032
1463;2034
1467;2036
1507;2039
1530;2041
1534;2044
1514;2046
1485;2050
1480;2052
1474;2054
1473;2057
1481;2059
1485;2062
1475;2064
1471;2066
1467;2069
1467;2071
1471;2074
1492;2076
1504;2078
1494;2081
1488;2083
1479;2086
1469;2088
1486;2091
1492;2094
1505;2096
1512;2099
1496;2101
1479;2103
1468;2106
1487;2108
1498;2111
1485;2113
1482;2115
1482;2118
1480;2120
1476;2123
1483;2125
1520;2127
1522;2130
1499;2132
1467;2136
1454;2138
1459;2141
1474;2143
1497;2145
1508;2148
1502;2150
1486;2153
1476;2155
1511;2157
1524;2160
1512;2162
1490;2165
1473;2167
1471;2169
1479;2172
1493;2174
1508;2178
1507;2180
1505;2182
1514;2185
1506;2187
1491;2190
1506;2192
1529;2194
1519;2197
1498;2199
1474;2202
1463;2204
1492;2206
1531;2209
1548;2211
1541;2214
1505;2216
1472;2220
1453;2222
1459;2224
1479;2227
1505;2229
1527;2232
1528;2234
1498;2236
1483;2239
1484;2241
1488;2244
1485;2246
1467;2248
1468;2251
1500;2253
1501;2256
1478;2258
1466;2260
1481;2264
1485;2266
1476;2269
1475;2271
1497;2273
1504;2276
1500;2278
1489;2281
1484;2283
1480;2285
1463;2288
1473;2290
1509;2293
1531;2295
1518;2297
1487;2300
1460;2302
1463;2306
1479;2308
1477;2311
1492;2313
1497;2315
1496;2318
1486;2320
1476;2323
1491;2325
1508;2327
1503;2330
1484;2332
1470;2335
1477;2337
1476;2339
1486;2342
1507;2344
1535;2348
1530;2350
1505;2352
1493;2355
1473;2357
1460;2360
1473;2362
1508;2364
1523;2367
1529;2369
1508;2372
1488;2374
1469;2377
1464;2379
1463;2381
1472;2384
1495;2386
1511;2390
1518;2392
1507;2394
1490;2397
1492;2399
1496;2402
1507;2404
1504;2406
1521;2409
1525;2411
1507;2414
1477;2416
1465;2418
1472;2421
1480;2423
1481;2426
1484;2428
1504;2430
1502;2434
1491;2436
1497;2439
1496;2441
1483;2443
1474;2446
1470;2448
1488;2451
1489;2453
1481;2456
1504;2458
1516;2460
1507;2463
1485;2465
1478;2468
1487;2470
1492;2472
1499;2476
1505;2478
1499;2481
1485;2483
1472;2485
1488;2488
1499;2490
1486;2493
1468;2495
1472;2497
1502;2500
1523;2502
1535;2505
1512;2507
1494;2509
1478;2512
1484;2514
1499;2518
1497;2520
1502;2522
1517;2525
1521;2527
1500;2530
1473;2532
1460;2535
1454;2537
1457;2539
1458;2542
1464;2544
1522;2547
1557;2549
1548;2551
1505;2554
1475;2556
1475;2560
1481;2562
1476;2564
1466;2567
1482;2569
1491;2572
1482;2574
1465;2576
1459;2579
1497;2581
1509;2584
1496;2586
1477;2588
1484;2591
1508;2593
1502;2596
1490;2598
1466;2600
1471;2604
1476;2606
1475;2609
1470;2611
1475;2613
1497;2616
1503;2618
1491;2621
1478;2623
1473;2625
1478;2628
1478;2630
1475;2633
1491;2635
1497;2638
1503;2640
1503;2642
1504;2646
1509;2648
1512;2651
1498;2653
1480;2655
1486;2658
1510;2660
1525;2663
1511;2665
1484;2667
1464;2670
1464;2672
1488;2675
1494;2677
1490;2679
1499;2682
1506;2684
1534;2688
1537;2690
1514;2692
1483;2695
1475;2697
1494;2700
1516;2702
1508;2704
1495;2707
1482;2709
1486;2712
1505;2714
1519;2716
1510;2719
1498;2721
1485;2724
1479;2726
1473;2729
1484;2732
1498;2734
1497;2737
1497;2739
1510;2742
1512;2744
1501;2746
1479;2749
1469;2751
1491;2754
1515;2756
1522;2758
1507;2761
1489;2763
1482;2766
1469;2768
1464;2770
1489;2774
1506;2776
1504;2779
1487;2781
1477;2783
1499;2786
1510;2788
1500;2791
1476;2793
1470;2795
1489;2798
1505;2800
1502;2803
1491;2805
1467;2807
1465;2810
1508;2812
1527;2816
1520;2818
1500;2821
1486;2823
1483;2825
1475;2828
1476;2830
1485;2833
1480;2835
1470;2837
1492;2840
1516;2842
1521;2845
1497;2847
1472;2849
1477;2852
1488;2854
1489;2857
1478;2860
1482;2862
1506;2865
1510;2867
1493;2870
1473;2872
1480;2874
1521;2877
1536;2879
1514;2882
1493;2884
1488;2886
1481;2889
1480;2891
1494;2894
1490;2896
1484;2898
1475;2902
1490;2904
1509;2907
1502;2909
1481;2912
1479;2914
1519;2916
1530;2919
1517;2921
1487;2924
1469;2926
1486;2928
1526;2931
1541;2933
1515;2936
1476;2938
1466;2940
1472;2944
1471;2946
1489;2949
1495;2951
1486;2953
1482;2956
1494;2958
1518;2961
1509;2963
1485;2965
1463;2968
1468;2970
1506;2973
1519;2975
1503;2977
1480;2980
1472;2982
1475;2985
1476;2988
1483;2991
1508;2993
1512;2995
1494;2998
1470;3000
1450;3003
1450;3005
1453;3007
1459;3010
1494;3012
1528;3015
1513;3017
1487;3019
1468;3022
1469;3024
1482;3027
1480;3030
1472;3032
1457;3035
1446;3037
1462;3040
1499;3042
1519;3044
1518;3047
1502;3049
1486;3052
1483;3054
1481;3056
1489;3059
1510;3061
1545;3064
1538;3066
1501;3069
1472;3072
1484;3074
1491;3077
1482;3079
1465;3082
1463;3084
1463;3086
1467;3089
1495;3091
1506;3094
1527;3096
1521;3098
1506;3101
1495;3103
1508;3106
1514;3108
1498;3110
1475;3113
1481;3116
1514;3119
1512;3121
1492;3123
1483;3126
1486;3128
1486;3131
1490;3133
1487;3136
1490;3138
1485;3140
1488;3143
1502;3145
1507;3148
1509;3150
1499;3152
1501;3155
1510;3158
1510;3161
1513;3163
1509;3165
1506;3168
1512;3170
1498;3173
1483;3175
1475;3177
1485;3180
1508;3182
1512;3185
1496;3187
1487;3189
1493;3192
1491;3194
1484;3197
1497;3200
1516;3203
1511;3205
1487;3207
1466;3210
1472;3212
1486;3215
1518;3217
1532;3219
1517;3222
1496;3224
1485;3227
1477;3229
1489;3231
1509;3234
1505;3236
1502;3239
1493;3241
1479;3244
1481;3247
1500;3249
1503;3252
1495;3254
1491;3256
1504;3259
1523;3261
1519;3264
1512;3266
1494;3268
1485;3271
1512;3273
1523;3276
1513;3278
1504;3280
1511;3283
1506;3286
1485;3289
1464;3291
1458;3294
1486;3296
1533;3298
1539;3301
1518;3303
1495;3306
1468;3308
1468;3310
1491;3313
1494;3315
1483;3318
1475;3320
1507;3322
1532;3325
1532;3328
1520;3331
1505;3333
1509;3335
1514;3338
1515;3340
1507;3343
1506;3345
1494;3347
1486;3350
1482;3352
1520;3355
1540;3357
1527;3359
1501;3362
1478;3364
1506;3367
1516;3369
1507;3373
1486;3375
1480;3377
1508;3380
1515;3382
1510;3385
1496;3387
1483;3389
1489;3392
1495;3394
1495;3397
1494;3399
1500;3401
1506;3404
1515;3406
1519;3409
1521;3411
1514;3414
1498;3417
1488;3419
1486;3422
1486;3424
1488;3426
1491;3429
1498;3431
1493;3434
1480;3436
1476;3438
1474;3441
1478;3443
1509;3446
1529;3448
1517;3450
1492;3453
1476;3456
1477;3459
1511;3461
1529;3464
1515;3466
1496;3468
1482;3471
1481;3473
1480;3476
1503;3478
1541;3480
1542;3483
1525;3485
1505;3488
1488;3490
1494;3492
1497;3495
1487;3497
1494;3501
1518;3503
1518;3505
1497;3508
1492;3510
1491;3513
1489;3515
1490;3517
1519;3520
1530;3522
1518;3525
1492;3527
1474;3530
1470;3532
1481;3534
1482;3537
1495;3539
1521;3543
1524;3545
1538;3547
1540;3550
1525;3552
1518;3555
1509;3557
1532;3559
1543;3562
1540;3564
1515;3567
1487;3569
1492;3571
1502;3574
1505;3576
1503;3579
1493;3581
1475;3584
1469;3587
1469;3589
1487;3592
1498;3594
1493;3596
1481;3599
1485;3601
1498;3604
1491;3606
1466;3609
1456;3611
1469;3613
1513;3616
1523;3618
1503;3621
1473;3623
1463;3625
1476;3629
1489;3631
1483;3634
1469;3636
1462;3638
1470;3641
1495;3643
1529;3646
1522;3648
1496;3650
1480;3653
1468;3655
1460;3658
1494;3660
1515;3662
1518;3665
1518;3667
1511;3671
1496;3673
1485;3675
1473;3678
1456;3680
1454;3683
1517;3685
1556;3688
1551;3690
1519;3692
1486;3695
1477;3697
1524;3700
1539;3702
1523;3704
1488;3707
1460;3709
1467;3713
1517;3715
1529;3717
1508;3720
1478;3722
1458;3725
1461;3727
1473;3729
1482;3732
1490;3734
1519;3737
1556;3739
1545;3741
1509;3744
1473;3746
1459;3749
1474;3751
1494;3753
1492;3757
1504;3759
1502;3762
1483;3764
1485;3767
1499;3769
1508;3771
1496;3774
1478;3776
1489;3779
1499;3781
1487;3783
1473;3786
1467;3788
1504;3791
1524;3793
1519;3795
1498;3799
1472;3801
1463;3804
1464;3806
1468;3808
1484;3811
1503;3813
1509;3816
1492;3818
1482;3820
1489;3823
1490;3825
1494;3828
1491;3830
1491;3832
1507;3835
1532;3837
1522;3841
1495;3843
1477;3846
1492;3848
1521;3850
1529;3853
1510;3855
1486;3858
1462;3860
1474;3862
1510;3865
1540;3867
1535;3870
1507;3872
1483;3874
1485;3877
1490;3879
1491;3883
1487;3885
1472;3887
1464;3890
1476;3892
1496;3895
1507;3897
1509;3899
1502;3902
1493;3904
1492;3907
1492;3909
1486;3911
1522;3914
1561;3916
1554;3919
1530;3921
1490;3923
1466;3927
1461;3929
1473;3932
1494;3934
1529;3937
1534;3939
1512;3941
1488;3944
1481;3946
1488;3949
1530;3951
1554;3953
1537;3956
1501;3958
1495;3961
1514;3963
1529;3965
1507;3969
1485;3971
1478;3974
1486;3976
1491;3978
1489;3981
1482;3983
1478;3986
1481;3988
1498;3990
1496;3993
1506;3995
1546;3998
1548;4000
1522;4003
1490;4005
1470;4007
1465;4011
1466;4013
1480;4016
1495;4018
1502;4020
1500;4023
1500;4025
1529;4028
1564;4030
1553;4032
1521;4035
1501;4037
1506;4040
1509;4042
1499;4044
1483;4047
1471;4049
1471;4052
1482;4055
1484;4057
1488;4060
1491;4062
1502;4065
1545;4067
1567;4069
1548;4072
1510;4074
1485;4077
1486;4079
1515;4081
1515;4084
1499;4086
1481;4089
1474;4091
1505;4094
1519;4097
1516;4099
1524;4102
1549;4104
1543;4107
1511;4109
1484;4111
1479;4114
1509;4116
1524;4119
1517;4121
1503;4123
1494;4126
1491;4128
1478;4131
1484;4133
1528;4135
1546;4139
1538;4141
1511;4144
1478;4146
1467;4148
1469;4151
1480;4153
1497;4156
1495;4158
1487;4160
1506;4163
1512;4165
1509;4168
1506;4170
1501;4173
1504;4175
1511;4177
1509;4180
1495;4183
1482;4186
1513;4188
1551;4190
1558;4193
1541;4195
1506;4198
1501;4200
1501;4202
1508;4205
1502;4207
1484;4210
1478;4212
1495;4214
1509;4217
1513;4219
1497;4222
1476;4225
1471;4227
1477;4230
1494;4232
1512;4235
1509;4237
1494;4239
1505;4242
1526;4244
1533;4247
1532;4249
1526;4252
1520;4254
1509;4256
1488;4259
1474;4261
1466;4264
1488;4267
1517;4269
1538;4272
1527;4274
1506;4277
1489;4279
1482;4281
1483;4284
1481;4286
1478;4289
1476;4291
1480;4293
1502;4296
1527;4298
1537;4301
1524;4303
1499;4305
1502;4308
1510;4311
1500;4314
1493;4316
1490;4318
1492;4321
1497;4323
1500;4326
